Abstand[mm]    U[V]
0    2.09
0.25    2.385
0.5    3.576
0.75    4.455
1    4.592
1.25    4.258
1.5    3.821
1.75    3.503
2    3.395
2.25    3.512
2.5    3.835
2.75    4.306
3    4.899
3.25    5.535
3.5    6.15
3.75    6.68
4    7.091
4.25    7.37
4.5    7.523
4.75    7.56
5    7.49
5.25    7.344
5.5    7.136
5.75    6.883
6    6.595
6.25    6.288
6.5    5.971
6.75    5.65
7    5.331
7.25    5.022
7.5    4.716
7.75    4.424
8    4.146
8.25    3.888
8.5    3.644
8.75    3.415
9    3.198
9.25    2.999
9.5    2.811
9.75    2.64
10    2.477
10.25    2.328
10.5    2.187
10.75    2.057
11    1.936
11.25    1.825
11.5    1.72
